Computer Name,Installed Applications - Windows
,Adobe InCopy CC 2017 | 12.0
,Adobe InDesign CC 2017 | 12.1.0
,Adobe Photoshop CC 2017 | 18.1.1
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Barracuda OMS | 2.9.3
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Mercury | 1.9.327.58
,MercuryManagerClient | 1.9.301.18
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Professional 2010 | 14.0.6029.1000
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 | 12.0.30501.0
,Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23026 | 14.0.23026.0
,Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026 | 14.0.23026.0
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5907
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.38543
,xagt | 21.33.7
SYDW2Y57HY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 3.5.0.1060
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 11.6 | 11.6.6.636
,Altiris Deployment Agent | 1.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.4.38
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,Thomson Reuters Messenger | 8.4.0.147
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW2Z7CHY1,AMD Catalyst Install Manager | 3.0.855.0
,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 21.0.0.198
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader X (10.1.0) | 10.1.0
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Autobahn Toolbar | 13.5.536.0
,Autobahn Toolbar | 2014.4.0.4530
,Autobahn | 1.20.0.0
,Barracuda OMS | 2.9.3
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Datawatch Designer v16.5.0.35160 64-bit | 16.5.0.35160
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,FX Trading | 6.7.3.10
,FXall | 5.4.2.38
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,GFI ForexMatch 2.5.1.350727
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Instinct FX Production Client
,InternetExplorer | 11.09.9600.1642
,Java(TM) 6 Update 27 | 6.0.270
,Launcher Hong Kong | 4.2.0.0
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,SnagIt 9 | 9.0.2
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.38543
,Thomson Reuters Messenger | 8.4.0.147
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW32P4GY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Flash Player 27 PPAPI | 27.0.0.170
,Adobe Reader XI | 11.0.00
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Bloomberg API
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5907
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,xagt | 21.33.7
SYDW3472F2S,7-Zip 15.05 beta x64
,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.08) | 11.0.08
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Application Insights Tools for Visual Studio 2015 | 4.2.60128.3
,Bloomberg API
,Bloomberg Keyboard v11.1 | v11.1
,Bloomberg Office Tools (32-bit)
,Bloomberg PFM Upload Tool for Microsoft Excel
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,BlueGriffon version 1.7.2 | 1.7.2
,Camtasia Studio 8 | 8.6.0.2079
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Custom UI Editor for Microsoft Office | 3.14.1592
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Entity Framework 6.1.3 Tools for Visual Studio 2015 Update 1 | 14.0.41103.0
,Entity Framework Designer for Visual Studio 2012 - enu | 11.1.21009.00
,Entity Framework Tools for Visual Studio 2013 | 12.0.20912.0
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Git Extensions 2.48.03 | 2.48.03
,Git version 1.9.4-preview20140929 | 1.9.4-preview20140929
,Google Chrome | 65.0.3325.181
,HTML Help Workshop
,HelpNDoc 2.9.0.144 Personal Edition | 2.9.0.144 Personal Edition
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,IIS 10.0 Express | 10.0.1735
,IIS Express Application Compatibility Database for x64
,IIS Express Application Compatibility Database for x86
,ImpactScriptFonts | 01.00.0000.0000
,Intel(R) MPI Library Runtime Environment 4.1 Update 1 for Windows* OS | 4.1.1.036
,Intel(R) Processor Graphics | 8.15.10.2418
,Java 8 Update 161 (64-bit) | 8.0.1610.12
,Java 8 Update 161 | 8.0.1610.12
,Java(TM) 6 Update 27 | 6.0.270
,JetBrains ReSharper 8.2 | 8.2.0.2160
,KDiff3 (remove only)
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5 Multi-Targeting Pack | 4.5.50710
,Microsoft .NET Framework 4.5 SDK | 4.5.50710
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU) | 4.5.50932
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack | 4.5.50932
,Microsoft .NET Framework 4.5.1 SDK | 4.5.51641
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU) | 4.5.51209
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack | 4.5.51651
,Microsoft .NET Framework 4.6 SDK | 4.6.00081
,Microsoft .NET Framework 4.6 Targeting Pack (ENU) | 4.6.00127
,Microsoft .NET Framework 4.6 Targeting Pack | 4.6.00081
,Microsoft .NET Framework 4.6.1 SDK | 4.6.01055
,Microsoft .NET Framework 4.6.1 Targeting Pack (ENU) | 4.6.01055
,Microsoft .NET Framework 4.6.1 Targeting Pack | 4.6.01055
,Microsoft .NET Framework 4.6.1 | 4.6.01055
,Microsoft .NET Version Manager (x64) 1.0.0-beta5 | 1.0.10609.0
,Microsoft ASP.NET MVC 3 | 3.0.50813.0
,Microsoft ASP.NET MVC 4 Runtime | 4.0.40804.0
,Microsoft ASP.NET Web Pages | 1.0.20105.0
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Help Viewer 1.1 | 1.1.40219
,Microsoft Help Viewer 2.0 | 2.0.50727
,Microsoft Help Viewer 2.1 | 2.1.21005
,Microsoft Help Viewer 2.2 | 2.2.24720
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Report Viewer 2012 Runtime | 11.0.2100.60
,Microsoft SQL Server 2008 R2 Data-Tier Application Framework | 10.50.1447.4
,Microsoft SQL Server 2008 R2 Data-Tier Application Project | 10.50.1447.4
,Microsoft SQL Server 2008 R2 Management Objects | 10.51.2500.0
,Microsoft SQL Server 2008 R2 Transact-SQL Language Service | 10.50.1447.4
,Microsoft SQL Server 2008 Setup Support Files | 10.1.2731.0
,Microsoft SQL Server 2012 (64-bit)
,Microsoft SQL Server 2012 Command Line Utilities | 11.1.3000.0
,Microsoft SQL Server 2012 Data-Tier App Framework (x64) | 11.1.2902.0
,Microsoft SQL Server 2012 Data-Tier App Framework | 11.1.2902.0
,Microsoft SQL Server 2012 Express LocalDB | 11.1.3000.0
,Microsoft SQL Server 2012 Management Objects (x64) | 11.1.3000.0
,Microsoft SQL Server 2012 Management Objects | 11.1.3000.0
,Microsoft SQL Server 2012 Native Client | 11.1.3000.0
,Microsoft SQL Server 2012 Policies | 11.0.2100.60
,Microsoft SQL Server 2012 Setup (English) | 11.1.3128.0
,Microsoft SQL Server 2012 T-SQL Language Service | 11.1.3000.0
,Microsoft SQL Server 2012 Transact-SQL Compiler Service | 11.1.3128.0
,Microsoft SQL Server 2012 Transact-SQL ScriptDom | 11.1.3000.0
,Microsoft SQL Server 2014 Management Objects (x64) | 12.0.2000.8
,Microsoft SQL Server 2014 Management Objects | 12.0.2000.8
,Microsoft SQL Server 2014 T-SQL Language Service | 12.0.2000.8
,Microsoft SQL Server 2014 Transact-SQL ScriptDom | 12.0.2000.8
,Microsoft SQL Server Compact 3.5 SP2 ENU | 3.5.8080.0
,Microsoft SQL Server Compact 3.5 SP2 x64 ENU | 3.5.8080.0
,Microsoft SQL Server Compact 4.0 SP1 x64 ENU | 4.0.8876.1
,Microsoft SQL Server Data Tools - enu (11.1.20627.00) | 11.1.20627.00
,Microsoft SQL Server Data Tools - enu (12.0.30919.1) | 12.0.30919.1
,Microsoft SQL Server Data Tools - enu (14.0.50616.0) | 14.0.50616.0
,Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00) | 11.1.20627.00
,Microsoft SQL Server Data Tools Build Utilities - enu (12.0.30919.1) | 12.0.30919.1
,Microsoft SQL Server Database Publishing Wizard 1.4 | 10.1.2512.8
,Microsoft SQL Server System CLR Types (x64) | 10.50.1600.1
,Microsoft SQL Server System CLR Types | 10.51.2500.0
,Microsoft Silverlight 4 SDK | 4.0.60310.0
,Microsoft Silverlight | 5.1.50906.0
,Microsoft Sync Framework Runtime v1.0 SP1 (x64) | 1.0.3010.0
,Microsoft Sync Framework SDK v1.0 SP1 | 1.0.3010.0
,Microsoft Sync Framework Services v1.0 SP1 (x64) | 1.0.3010.0
,Microsoft Sync Services for ADO.NET v2.0 SP1 (x64) | 2.0.3010.0
,Microsoft System CLR Types for SQL Server 2012 (x64) | 11.1.3366.16
,Microsoft System CLR Types for SQL Server 2012 | 11.1.3366.16
,Microsoft System CLR Types for SQL Server 2014 | 12.0.2402.11
,Microsoft Team Foundation Server 2010 Object Model - ENU | 10.0.30319
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x64 Runtime - 10.0.30319 | 10.0.30319
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Runtime - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005 | 12.0.21005.1
,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005 | 12.0.21005.1
,Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506 | 14.0.23506.0
,Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23506 | 14.0.23506.0
,Microsoft Visual Studio 2010 ADO.NET Entity Framework Tools | 10.0.30319
,Microsoft Visual Studio 2010 Shell (Isolated) - ENU | 10.0.40219
,Microsoft Visual Studio 2010 Tools for Office Runtime (x64) | 10.0.40820
,Microsoft Visual Studio Macro Tools | 9.0.30729
,Microsoft Visual Studio Professional 2015 | 14.0.23107.10
,Microsoft Web Deploy 3.6 | 3.1238.1955
,Microsoft Web Deploy dbSqlPackage Provider - enu | 10.3.20225.0
,Microsoft Web Platform Installer 4.0 | 4.0.1622
,NCaspar 3.8.4.4 | 3.8.4.4
,NCaspar 3.8.4.5 | 3.8.4.5
,NCaspar 3.8.6.2 | 3.8.6.2
,Notepad++ | 6.1.1
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,Prerequisites for SSDT | 11.1.3000.0
,Prerequisites for SSDT | 12.0.2000.8
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Screen Recorder Launcher | 2.0
,SourceGear DiffMerge 3.3.2.1139 (x64) | 3.3.2.1139
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.42144
,Thomson Reuters Messenger | 8.4.0.147
,TreeSize Free V2.7 | 2.7
,TypeScript Tools for Microsoft Visual Studio 2015 1.7.6.0 | 1.7.24809.0
,VirtualCloneDrive
,Visual Studio 2010 Prerequisites - English | 10.0.30319
,Visual Studio 2010 Tools for SQL Server Compact 3.5 SP2 ENU | 4.0.8080.0
,WCF RIA Services V1.0 SP2 | 4.1.62812.0
,WebEx Support Manager for Internet Explorer | 6.2
,WinSCP 5.9.2 | 5.9.2
,Windows Grep 2.3
,gedit 2.30.1 | 2.30.1
,i-Swap XFE | 100.11.51.33326
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW35F1ZY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Application Virtualization Desktop Client | 4.6.2.24020
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 | 9.0.30729.6161
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5907
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,Treasury Center | 6.5.0.79
,bgc forex 9.8.7.466758
,xagt | 21.33.7
SYDW35Q4GY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 21.0.0.198
,Adobe Acrobat 2017 | 17.011.30059
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,BlueGriffon version 1.7.2 | 1.7.2
,Chatter Desktop | 3.2.0
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Entity Framework Tools for Visual Studio 2013 | 12.0.20912.0
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Git Extensions 2.48.05 | 2.48.05
,Git version 1.9.5-preview20150319 | 1.9.5-preview20150319
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,IIS 8.0 Express | 8.0.1557
,IIS Express Application Compatibility Database for x64
,IIS Express Application Compatibility Database for x86
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,KDiff3 (remove only)
,MSXML 4.0 SP3 Parser (KB2721691) | 4.30.2114.0
,MSXML 4.0 SP3 Parser (KB2758694) | 4.30.2117.0
,Macrobond | 1.14.32.21602
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4 Multi-Targeting Pack | 4.0.30319
,Microsoft .NET Framework 4.5 Multi-Targeting Pack | 4.5.50710
,Microsoft .NET Framework 4.5 SDK | 4.5.50710
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU) | 4.5.50932
,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack | 4.5.50932
